UserName,Handle,Timestamp,Text,Comments,Retweets,Likes,
Alberto Fernández,@alferdez,2021-11-15T03:29:01.000Z,"Alberto Fernández
@alferdez
·
15 nov.Quiero felicitar al pueblo argentino por su participación pacífica en el marco de la democracia. Cada vez que el pueblo habla, la democracia nos hace más fuertes.

Hoy empieza la segunda parte de nuestro Gobierno y sé bien que los argentinos y argentinas necesitamos un horizonte.
1 mil
1,2 mil
6,9 mil",1000,1200,6900,
Alberto Fernández,@alferdez,2021-11-14T13:49:19.000Z,"Alberto Fernández
@alferdez
·
14 nov.Cada día que la Argentina vota, es un día valioso e importante.

Deseo que todas las argentinas y argentinos se expresen en esta jornada de la democracia para que todos y todas construyamos el país que nos merecemos.
1,3 mil
1,2 mil
8,2 mil",1300,1200,8200,
Alberto Fernández,@alferdez,2021-11-14T02:40:18.000Z,"Alberto Fernández
@alferdez
·
13 nov.También me visitaron 
@Kicillofok
 y 
@vtolosapaz
 y 
@DrDanielGollan
, candidatos por la provincia de Buenos Aires.

Unidos para seguir gobernando, sabemos a quienes representamos y queremos proteger.
286
226
1,2 mil",286,226,1200,
Alberto Fernández,@alferdez,2021-11-14T02:40:15.000Z,"Alberto Fernández
@alferdez
·
13 nov.Este sábado recibí en Olivos a 
@SergioMassa
, 
@wadodecorrido
, 
@marianorecalde
 y a 
@SantoroLeandro
, 
@MontenegroViki
 y 
@AlejandroAmorOK
, candidatos del 
@frentedetodos
 por CABA.

Dialogamos sobre los desafíos de cara al domingo y a la construcción de una Argentina que siga avanzando.
558
435
2,2 mil",558,435,2200,
Alberto Fernández,@alferdez,2021-11-09T13:17:57.000Z,"Alberto Fernández
@alferdez
·
9 nov.Ayer fui testigo de esa Argentina por la que trabajamos.

La vi en la fábrica textil 
@tocki_co
 que no para de crecer. Y en la juventud de San Martín cuya voluntad de transformación nos impulsa.

#ArgentinaAvanza
558
544
1,6 mil",558,544,1600,
Alberto Fernández,@alferdez,2021-11-09T00:49:21.000Z,"Alberto Fernández
@alferdez
·
8 nov.Participé del cierre del encuentro de #Argentina2030: los desafíos de la Ciencia y la Tecnología.

Debemos seguir dotando de recursos a la educación, la ciencia y la tecnología en cada rincón del país. En el conocimiento está la fortaleza y la soberanía de una nación.
778
494
1,4 mil",778,494,1400,
Alberto Fernández,@alferdez,2021-11-09T00:01:59.000Z,"Alberto Fernández
@alferdez
·
8 nov.Además, junto a 
@vtolosapaz
, me encontré con más de 300 jóvenes.

Fue muy valioso escuchar sus preocupaciones y experiencias. Confío en nuestra juventud y en su voluntad de transformación para que nuestro país no retroceda. Tienen mi compromiso con dar respuesta a sus reclamos.
229
195
666",229,195,666,
Alberto Fernández,@alferdez,2021-11-09T00:01:55.000Z,"Alberto Fernández
@alferdez
·
8 nov.Hoy cuentan con 64 máquinas y esperan incorporar 10 más, lo que les permitió aumentar su producción y generar más empleo.

Esa es la Argentina por la que trabajamos y se refleja en los números. Somos la segunda economía que más ha crecido en el mundo.
146
258
738",146,258,738,
Alberto Fernández,@alferdez,2021-11-09T00:01:53.000Z,"Alberto Fernández
@alferdez
·
8 nov.En San Martín visité la fábrica textil 
@tocki_co
. En 2019 tenían 32 máquinas cuando hablé con Mauricio, su dueño en aquel entonces.

Me dijo: “Ustedes ganen las elecciones, nosotros nos ocupamos de salir adelante”. Le prometí poner en marcha la economía.
1,3 mil
871
1,9 mil",1300,871,1900,
Alberto Fernández,@alferdez,2021-11-08T18:23:55.000Z,"Alberto Fernández
@alferdez
·
8 nov.Recibí al grupo francés Eramet, quien me anunció que invertirá US$ 400 millones en el país.

Retomará la construcción de una planta de litio en Salta, lo que generará más de 2 mil puestos de trabajo. El fruto de un diálogo continuo con la empresa y de una Argentina que avanza.
803
1 mil
3 mil",803,1000,3000,
Alberto Fernández,@alferdez,2021-11-04T14:31:00.000Z,"Alberto Fernández
@alferdez
·
4 nov.Todo mi cariño.
Te deseo una pronta recuperación.
Nos vemos muy pronto.
Besos. 
#FuerzaCristina
1,5 mil
2,5 mil
19,4 mil",1500,2500,19400,
Alberto Fernández,@alferdez,2021-11-02T21:35:02.000Z,"Alberto Fernández
@alferdez
·
2 nov.Cumbre de Líderes de la 
@COP26
 en Glasgow.
734
538
1,7 mil",734,538,1700,
Alberto Fernández,@alferdez,2021-11-02T18:46:15.000Z,"Alberto Fernández
@alferdez
·
2 nov.Felicito a Haydeé Viola y 
@PeinettiAna
 a quienes 
@FilmusDaniel
 entregó el Premio 
@lorealargentina
-
@UNESCO
 CONICET ""#PorLasMujeresEnLaCiencia"". 

Ambas pusieron su saber al servicio de la respuesta al covid-19. Ana es científica repatriada a través de nuestro Programa Raíces.
110
287
1 mil",110,287,1000,
Alberto Fernández,@alferdez,2021-11-02T13:26:41.000Z,"Alberto Fernández
@alferdez
·
2 nov.Nuestro país ha adoptado la lucha contra el cambio climático como política de Estado.

Que esta #COP26 no quede solo en palabras. Es tiempo de actuar juntos por el presente y el futuro de nuestro planeta.
68
145
506",68,145,506,
Alberto Fernández,@alferdez,2021-11-02T13:26:41.000Z,"Alberto Fernández
@alferdez
·
2 nov.Debemos crear mecanismos de pago por servicios ecosistémicos, canje de deuda por clima y aplicar la emisión de los DEGs del FMI a un pacto de solidaridad ambiental que incluya a los países en desarrollo y que sirva para extender los plazos de las deudas y para reducir las tasas.
51
180
550",51,180,550,
Alberto Fernández,@alferdez,2021-11-02T13:26:40.000Z,"Alberto Fernández
@alferdez
·
2 nov.La pandemia desnudó una crisis climática, económica y social.

A través de su ecosistema, países como Argentina sostienen los medios de vida de todo el planeta. Es imperioso que los aportes se inscriban en el marco de responsabilidades comunes, pero diferenciadas.

#COP26
389
483
1,6 mil",389,483,1600,
Alberto Fernández,@alferdez,2021-11-01T21:08:40.000Z,"Alberto Fernández
@alferdez
·
1 nov.En la COP26 me reuní con los directivos de la empresa, Andrew Forrest, 
@JulieShuttlewth
, 
@AP9_
, Todd Clewett y Sebastián Delgui.
 
Esto coloca a la vanguardia de la transición ecológica a nuestro país, que pronto podrá ser proveedor mundial de uno de los combustibles del futuro.
103
285
1,2 mil",103,285,1200,
Alberto Fernández,@alferdez,2021-11-01T21:08:39.000Z,"Alberto Fernández
@alferdez
·
1 nov.La empresa australiana de energía 
@FortescueFuture
 nos anunció que invertirá US$ 8.400 millones en Argentina para producir hidrógeno verde.
 
Será la inversión internacional más grande del siglo en el país y generará más de 15 mil empleos directos y entre 40 y 50 mil indirectos.
1,3 mil
2,7 mil
8,9 mil",1300,2700,8900,
Alberto Fernández,@alferdez,2021-10-30T20:23:43.000Z,"Alberto Fernández
@alferdez
·
30 oct.Junto a 
@sanchezcastejon
 nos preocupan los desafíos que deja la pandemia. Reconocí la acción solidaria de su gobierno al donar 2.202.800 de vacunas al país a través de COVAX.

España es el 2° inversor externo de la Argentina. Acordamos reforzar esa relación económico-comercial.
205
260
1 mil",205,260,1000,
Alberto Fernández,@alferdez,2021-10-30T19:10:50.000Z,"Alberto Fernández
@alferdez
·
30 oct.Compartimos el interés en ampliar la agenda comercial y de inversiones y los vínculos entre empresas argentinas y francesas del sector de energías renovables, infraestructura y automotriz e impulsar la cooperación científico-tecnológica.

Un buen encuentro con un buen amigo.
54
112
394",54,112,394,
Alberto Fernández,@alferdez,2021-10-30T19:10:49.000Z,"Alberto Fernández
@alferdez
·
30 oct.Con 
@emmanuelmacron
, presidente de Francia, reafirmamos las visiones compartidas en torno a la acción climática, la preservación de la biodiversidad, la defensa de los DDHH y la igualdad de género.

Agradecí el apoyo de su país a la negociación con el Club de París y el FMI.
334
349
1,3 mil",334,349,1300,
Alberto Fernández,@alferdez,2021-10-30T18:49:37.000Z,"Alberto Fernández
@alferdez
·
30 oct.Buen encuentro con la directora gerente del FMI, 
@KGeorgieva
, para avanzar en negociaciones que nos permitan salir del lugar social y económicamente insostenible en donde el gobierno que me precedió dejó a nuestra amada Argentina. Negociar con firmeza es recuperar soberanía.
665
659
2,3 mil",665,659,2300,
Alberto Fernández,@alferdez,2021-10-30T18:12:20.000Z,"Alberto Fernández
@alferdez
·
30 oct.Su país es nuestro principal socio comercial en la UE. En 2020 el comercio bilateral superó los 2.700 millones de dólares, lo que indica una gran complementariedad y auspiciosas perspectivas a futuro.

Celebro este panorama y haber podido despedir a una líder invaluable.
42
140
614",42,140,614,
Alberto Fernández,@alferdez,2021-10-30T18:12:19.000Z,"Alberto Fernández
@alferdez
·
30 oct.Me honra haber compartido un encuentro bilateral con la canciller federal de Alemania, Angela Merkel.

Le reiteré mi agradecimiento por el apoyo de Alemania para que Argentina logre un acuerdo sustentable con el Club de París y con el FMI.
764
579
2,5 mil",764,579,2500,
Alberto Fernández,@alferdez,2021-10-30T17:49:32.000Z,"Alberto Fernández
@alferdez
·
30 oct.Quienes renegamos de un mundo donde la riqueza se concentra y la pobreza hunde a millones debemos convocar a igualar nuestras sociedades.

Llamo a que el G20 se involucre en la tarea de que la ética social le dé contenido a la economía.
104
176
483",104,176,483,
Alberto Fernández,@alferdez,2021-10-22T15:36:45.000Z,"Alberto Fernández
@alferdez
·
22 oct.Quiero desearle un feliz cumpleaños a Estela de Carlotto, emblema de los derechos humanos en la patria y en el mundo.

Su espíritu nos guía y nos fortalece. La saludo con todo el cariño y con todo el honor.
1,3 mil
846
5,2 mil",1300,846,5200,
Alberto Fernández,@alferdez,2021-10-22T15:13:17.000Z,"Alberto Fernández
@alferdez
·
22 oct.Hoy es el Día Nacional del Derecho a la Identidad en homenaje a 
@abuelasdifusion
.

44 años de lucha incansable en manos de mujeres que han marcado nuestra historia. El pueblo las acompaña.

#Abuelas44años
419
657
2,6 mil",419,657,2600,
Alberto Fernández,@alferdez,2021-10-21T01:05:03.000Z,"Alberto Fernández
@alferdez
·
20 oct.También, dialogamos acerca del programa de Compre Social y de los créditos no bancarios para PyMEs y cooperativas.

#Sí a políticas por trabajo formal para nuestro pueblo.
103
166
636",103,166,636,
Alberto Fernández,@alferdez,2021-10-21T01:05:02.000Z,"Alberto Fernández
@alferdez
·
20 oct.Ayer publicamos un decreto que convierte planes sociales en empleo. 

Hoy analizamos un proyecto de ley para formalizar a trabajadoras y trabajadores de la economía popular con la creación de un monotributo productivo.
710
711
2,6 mil",710,711,2600,
Alberto Fernández,@alferdez,2021-10-20T14:57:45.000Z,"Alberto Fernández
@alferdez
·
20 oct.Participé de la Cumbre de Finanzas en Común 2021.

Los países de renta media atravesamos una triple crisis de pandemia, cambio climático y deuda. La respuesta debe ser multilateral, inclusiva y sostenible con una nueva arquitectura financiera internacional. El tiempo es ahora.
425
348
1,1 mil",425,348,1100,
Alberto Fernández,@alferdez,2021-10-20T00:53:40.000Z,"Alberto Fernández
@alferdez
·
19 oct.También me reuní con representantes del turismo. Una industria muy dañada que, en su mayoría, emplea a mujeres. 

Con políticas como el ATP y el PreViaje, hemos hecho un esfuerzo enorme para preservarla y garantizar sus trabajos. Recibimos con emoción que hoy se ponga de pie.
44
91
409",44,91,409,
Alberto Fernández,@alferdez,2021-10-17T12:42:55.000Z,"Alberto Fernández
@alferdez
·
17 oct.Hace 76 años, argentinas y argentinos salieron a las calles en reclamo de la libertad de un coronel que defendió a quienes trabajaban. Ese día marcó un camino de lealtad inquebrantable con el pueblo.

Compañeras y compañeros, celebremos en unidad esta fiesta de la democracia 
1,8 mil
1,7 mil
5,9 mil",1800,1700,5900,
Alberto Fernández,@alferdez,2021-10-16T00:27:19.000Z,"Alberto Fernández
@alferdez
·
15 oct.Cuando dicen que no hace falta abrir universidades o cuando cierran el Ministerio de Ciencia y Tecnología. nosotros le decimos #Sí a la educación pública y al desarrollo del conocimiento.

Estamos construyendo una sociedad mejor.
159
163
632",159,163,632,
Alberto Fernández,@alferdez,2021-10-16T00:27:19.000Z,"Alberto Fernández
@alferdez
·
15 oct.Firmamos un convenio para construir un polo científico, tecnológico y de innovación productiva en La Matanza, con una inversión de US$ 15 millones financiados por 
@el_BID
.

El futuro está en las sociedades que desarrollan el conocimiento, la educación, la ciencia y la tecnología.
306
486
1,7 mil",306,486,1700,
Alberto Fernández,@alferdez,2021-10-15T23:09:56.000Z,"Alberto Fernández
@alferdez
·
15 oct.Vamos a seguir discutiendo hasta que estemos seguros de que tendremos los recursos necesarios para poner de pie la economía argentina y garantizar el trabajo en nuestro pueblo.
84
77
270",84,77,270,
Alberto Fernández,@alferdez,2021-10-15T23:09:56.000Z,"Alberto Fernández
@alferdez
·
15 oct.Nuestra decisión de encontrar un rápido acuerdo con el FMI es absoluta. Pero un rápido acuerdo no puede conducirnos a un mal acuerdo.
53
83
269",53,83,269,
Alberto Fernández,@alferdez,2021-10-15T23:09:56.000Z,"Alberto Fernández
@alferdez
·
15 oct.Asimismo, es imperioso resolver el problema de la deuda que heredamos.
 
Ya ahorramos más de US$ 37 mil millones en el acuerdo con acreedores privados. 
Ahora queremos lograr un acuerdo con el FMI. Queremos que sea sostenible y que no postergue el desarrollo argentino.
31
60
166",31,60,166,
Alberto Fernández,@alferdez,2021-10-15T23:09:55.000Z,"Alberto Fernández
@alferdez
·
15 oct.En unidad podremos terminar con la desocupación, cambiando planes por empleo.

La asistencia del Estado es solo un paliativo. El remedio para el desarrollo sostenible de nuestra sociedad es la inversión privada que asocia al capital y al trabajo. Eso impulsamos.
22
61
152",22,61,152,
Alberto Fernández,@alferdez,2021-10-13T20:55:45.000Z,"Alberto Fernández
@alferdez
·
13 oct.Con 
@sergiodigra
, presidente ejecutivo de 
@AgendaCAF
 (Banco de Desarrollo de A. Latina) mantuvimos una reunión en la que acordamos financiamiento por US$ 2670 millones para la Argentina.
 
Potenciará el desarrollo integral del país y mejorará la calidad de vida de nuestro pueblo.
314
290
834",314,290,834,
Alberto Fernández,@alferdez,2021-10-13T15:12:35.000Z,"Alberto Fernández
@alferdez
·
13 oct.Sería bueno que, dejando de lado las diferencias, un tema trascendente para el país, como lo es la deuda, nos una en un objetivo común. Desde los empresarios y los sindicatos, de las fuerzas políticas a los medios de comunicación. 

Hoy más que nunca, digámosle sí a la Argentina.
219
221
807",219,221,807,
Alberto Fernández,@alferdez,2021-10-13T15:12:34.000Z,"Alberto Fernández
@alferdez
·
13 oct.Y agrega el propio De Narváez: “Un diario habla de patear, pero uno no patea en estas negociaciones; el presidente dijo que quiere hacer un acuerdo que sea beneficioso para los argentinos y que sea cumplible"".
54
176
617",54,176,617,
Alberto Fernández,@alferdez,2021-10-13T15:12:33.000Z,"Alberto Fernández
@alferdez
·
13 oct.Bien dijo hoy el empresario Francisco De Narváez a quien cito: “El presidente no nos anunció que el acuerdo con el FMI está postergado, nos dijo que está en proceso de realizarse...”
31
128
367",31,128,367,
Alberto Fernández,@alferdez,2021-10-13T15:12:31.000Z,"Alberto Fernández
@alferdez
·
13 oct.Hoy nos encontramos con la tapa del diario Clarín que dice que, en esa reunión, anuncié que el acuerdo con el FMI se sellaría el año próximo. No fue así. Queremos lograr ese acuerdo tan pronto como se den las condiciones.
149
360
662",149,360,662,
Alberto Fernández,@alferdez,2021-10-13T15:12:24.000Z,"Alberto Fernández
@alferdez
·
13 oct.Los empresarios nos expusieron su acompañamiento, a la vez que nos manifestaron satisfacción por escuchar de nuestra parte la estrategia de la negociación, compartida por todo el espacio del frente que integramos.
33
105
321",33,105,321,
Alberto Fernández,@alferdez,2021-10-13T15:12:23.000Z,"Alberto Fernández
@alferdez
·
13 oct.Les dije que era fundamental lograr el mejor acuerdo posible y que nuestro objetivo es que sea beneficioso para todos los argentinos y las argentinas.
32
104
305",32,104,305,
Alberto Fernández,@alferdez,2021-10-13T15:12:22.000Z,"Alberto Fernández
@alferdez
·
13 oct.Ayer tuvimos una excelente reunión con empresarios argentinos en la que, entre otros temas, informé cómo avanza la negociación con el FMI por la deuda que heredamos del gobierno anterior.
1,1 mil
758
2,5 mil",1100,758,2500,
Alberto Fernández,@alferdez,2021-10-12T21:05:58.000Z,"Alberto Fernández
@alferdez
·
12 oct.Un mundo con diversidad cultural y sin violencia parte del reconocimiento del otro. 

En este #DíadelRespetoalaDiversidadCultural sigamos trabajando para que cada persona y cada comunidad sea reconocida y valorada.
72
101
448",72,101,448,
Alberto Fernández,@alferdez,2021-10-12T21:05:58.000Z,"Alberto Fernández
@alferdez
·
12 oct.Celebramos esta América diversa y plural que nos cobija. Trabajamos para que las culturas puedan comprenderse y cooperar en condiciones de igualdad.
40
95
476",40,95,476,
Alberto Fernández,@alferdez,2021-10-07T23:27:43.000Z,"Alberto Fernández
@alferdez
·
7 oct.Con profundo pesar supe del fallecimiento de Jorge Coscia, compañero a quien le guardo enorme respeto como político, como cineasta y como militante comprometido con su patria.
Acompaño en el dolor a sus seres queridos.
248
426
2,7 mil",248,426,2700,
Alberto Fernández,@alferdez,2021-10-07T20:02:26.000Z,"Alberto Fernández
@alferdez
·
7 oct.Tenemos en claro cuáles son los problemas y las urgencias. Este complemento se trata de una medida progresiva, que se pagará mes a mes y que irá siendo superada hasta que los ingresos de los trabajadores y las trabajadoras recuperen su poder adquisitivo.

Gobernar es escuchar.
239
202
655",239,202,655,
Alberto Fernández,@alferdez,2021-10-07T20:02:26.000Z,"Alberto Fernández
@alferdez
·
7 oct.Con esta decisión, a partir de octubre, vamos a beneficiar a más de 2 millones de trabajadoras y trabajadores argentinos y más de 3 millones de niños, niñas y adolescentes.
91
168
613",91,168,613,
Alberto Fernández,@alferdez,2021-10-07T20:02:25.000Z,"Alberto Fernández
@alferdez
·
7 oct.Esta medida tiene que ver con el compromiso que tomamos con las y los argentinos de reconstruir y recuperar el poder adquisitivo de sus salarios.
46
102
296",46,102,296,
Alberto Fernández,@alferdez,2021-10-07T20:02:24.000Z,"Alberto Fernández
@alferdez
·
7 oct.Sabemos que las familias de las trabajadoras y trabajadores registrados de Argentina deben mejorar sus ingresos. Por eso, hemos decretado un complemento mensual para el salario familiar a partir de octubre.
0:16
113,1 mil reproducciones
1,2 mil
928
2,6 mil",1200,928,2600,
Alberto Fernández,@alferdez,2021-10-07T02:26:29.000Z,"Alberto Fernández
@alferdez
·
6 oct.Hoy recorrí la planta Stellantis, en ella se fabrican vehículos Peugeot y Citroën. Luego de dos años y medio de trabajar un solo turno pasaron a dos e incorporaron 663 trabajadoras y trabajadores en 2021.

Cuando crecen la producción y las exportaciones, crece el trabajo.
450
1 mil
2,9 mil",450,1000,2900,
Alberto Fernández,@alferdez,2021-10-06T20:42:04.000Z,"Alberto Fernández
@alferdez
·
6 oct.Presentamos el proyecto de Ley de Comités Mixtos de Seguridad, Salud, Medio Ambiente y Prevención de Riesgos en el Trabajo.

A través de un órgano paritario, buscamos consolidar un ambiente laboral seguro y saludable, libre de violencia, acoso y discriminación.
334
409
1,3 mil",334,409,1300,
Alberto Fernández,@alferdez,2021-09-29T22:47:17.000Z,"Alberto Fernández
@alferdez
·
29 sept.Saludé a las madres que hoy recibieron las primeras jubilaciones por Reconocimiento de Aportes por #TareasDeCuidado. Pude escucharlas y agradecerles por su labor.

La distribución de estas tareas ha sido históricamente desigual. Hemos visibilizado y reparado una injusticia.
839
760
3,1 mil",839,760,3100,
Alberto Fernández,@alferdez,2021-09-29T00:33:29.000Z,"Alberto Fernández
@alferdez
·
28 sept.En esta oportunidad no pude estar físicamente presente como siempre lo he hecho en las conmemoraciones emblemáticas, pero aprovecho la ocasión para ratificar nuestra voluntad de seguir trabajando juntos por la unidad latinoamericana y el bienestar de nuestros pueblos.
73
113
617",73,113,617,
Alberto Fernández,@alferdez,2021-09-29T00:33:28.000Z,"Alberto Fernández
@alferdez
·
28 sept.Saludo al Gobierno de México en el Bicentenario de la Consumación de su Independencia y hago llegar mi afecto al entrañable pueblo mexicano a través de su Presidente Andrés Manuel López Obrador, amigo de la Argentina que tanto nos ha apoyado.
155
319
1,8 mil",155,319,1800,
Alberto Fernández,@alferdez,2021-09-28T22:18:45.000Z,"Alberto Fernández
@alferdez
·
28 sept.Trabajamos junto a 
@wadodecorrido
 en un cronograma de apertura de fronteras de manera segura y coordinada con las provincias. Los indicadores sanitarios, producto del nivel de vacunación, nos permiten retomar políticas de crecimiento, con más empleo y producción. 
#SalirAdelante
751
596
2,5 mil",751,596,2500,
Alberto Fernández,@alferdez,2021-09-28T20:29:38.000Z,"Alberto Fernández
@alferdez
·
28 sept.Hoy analice con 
@HugoYasky
 , 
@RobiBaradel
 y 
@soniaalesso1
 la situación de los docentes nacionales jubilados y la posibilidad de recomponer sus ingresos. También observamos el financiamiento de la educación en el presupuesto nacional. 
Para nosotros, la educación es prioridad.
1 mil
471
1,2 mil",1000,471,1200,
Alberto Fernández,@alferdez,2021-09-27T18:30:20.000Z,"Alberto Fernández
@alferdez
·
27 sept.No solo damos respuesta a un sector duramente golpeado por la pandemia. También, visibilizamos años de esfuerzo y reparamos una deuda histórica con ellas.
310
232
1 mil",310,232,1000,
Alberto Fernández,@alferdez,2021-09-27T18:30:20.000Z,"Alberto Fernández
@alferdez
·
27 sept.Anunciamos el programa #Registradas para reducir la informalidad y garantizar el empleo registrado de las trabajadoras de casas particulares.

Pagaremos parte de su salario por 6 meses y la parte empleadora debe registrar y pagar aportes, contribuciones, ART y el sueldo restante.
1,3 mil
1,1 mil
3,5 mil",1300,1100,3500,
Alberto Fernández,@alferdez,2021-09-22T18:26:26.000Z,"Alberto Fernández
@alferdez
·
22 sept.Inauguramos la Facultad de Ciencias Médicas de la 
@UNPAZ_Oficial
.
 
En el 2019 quienes perdieron las elecciones primarias cerraron los ministerios de Salud, Trabajo y Ciencia y Técnica al día siguiente. Nosotros, tras la derrota, venimos a mantener en pie la educación pública.
677
693
2,3 mil",677,693,2300,
